predicted_x,predicted_y,x,y
1.555,2.407,1.0,2.5
2.153928571428571,2.143345238095238,1.5,2.0
2.01,7.4975,1.5,7.5
2.507136904761905,2.580803571428571,2.0,2.5
2.307886904761905,2.2354285714285713,2.5,2.5
2.448416666666667,7.4975,2.5,7.5
2.7032619047619044,1.9520535714285716,3.0,1.5
3.0775,5.955,3.0,5.5
2.9134166666666665,7.4275,3.0,7.5
3.871416666666666,3.41225,3.5,3.5
3.2385535714285707,3.7741785714285716,3.5,4.5
4.308916666666665,3.3122499999999997,4.0,3.5
4.089666666666666,2.095041666666667,4.5,2.0
4.29,7.665,4.5,8.0
4.7625,5.9675,5.0,5.5
4.58,7.4975,5.0,7.5
4.902083333333334,1.8345833333333332,5.5,1.5
5.111958333333334,3.2689166666666667,5.5,3.5
