predicted_x,predicted_y,x,y
1.3333333333333333,1.3333333333333333,1,1
1.3333333333333333,1.6666666666666667,1,2
1.3333333333333333,2.6666666666666665,1,3
1.3333333333333333,7.333333333333333,1,7
1.6666666666666667,7.666666666666667,1,8
2.3333333333333335,1.6666666666666667,2,1
1.6666666666666667,1.6666666666666667,2,2
1.6666666666666667,2.6666666666666665,2,3
1.3333333333333333,7.333333333333333,2,7
1.6666666666666667,7.666666666666667,2,8
3.3333333333333335,1.3333333333333333,3,1
2.6666666666666665,1.3333333333333333,3,2
3.0,3.0,3,3
3.6666666666666665,3.6666666666666665,3,4
3.0,5.0,3,5
3.0,7.0,3,6
3.0,7.0,3,7
2.6666666666666665,7.666666666666667,3,8
3.6666666666666665,1.3333333333333333,4,1
3.6666666666666665,1.3333333333333333,4,2
3.6666666666666665,3.3333333333333335,4,3
3.6666666666666665,3.6666666666666665,4,4
4.666666666666667,7.666666666666667,4,8
5.333333333333333,1.3333333333333333,5,1
5.333333333333333,1.3333333333333333,5,2
5.0,3.6666666666666665,5,4
5.666666666666667,5.333333333333333,5,5
5.333333333333333,5.666666666666667,5,6
5.333333333333333,7.666666666666667,5,7
5.333333333333333,7.666666666666667,5,8
5.333333333333333,1.3333333333333333,6,1
6.0,3.0,6,2
5.666666666666667,2.3333333333333335,6,3
5.666666666666667,3.3333333333333335,6,4
5.666666666666667,5.333333333333333,6,5
5.333333333333333,5.666666666666667,6,6
5.333333333333333,7.666666666666667,6,8
